	Source	Length	Incompatibility Group	Predicted Plasmid/ICE	Phylum
infant_c_000000006854	De Novo Assembled	87412	IncFII,IncFIA,rep_cluster_959	Plasmid	Proteobacteria
adult_c_000002957226	De Novo Assembled	17755	N/A	ICE	Firmicutes
infant_c_000000128663	De Novo Assembled	32640	N/A	Plasmid	Proteobacteria
UMGS221_SRR1449329_bin.5_Tenericutes_Mollicutes_NA_NA_NA_NODE_3_length_127005_cov_7.53875	Genome Set	127005	N/A	ICE	Tenericutes
14207_7_64_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_64.4	Genome Set	266625	N/A	ICE	Firmicutes
NZ_AEXR01000016.1_Eggerthella_sp._HGA1_contig00024__whole_genome_shotgun_sequence	Genome Set	222459	N/A	ICE	Actinobacteria
12718_7_89_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_NA_.12718_7_89.6	Genome Set	172264	N/A	ICE	Actinobacteria
18048_2_85_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.18048_2_85.18	Genome Set	61954	N/A	ICE	Firmicutes
UMGS1145_ERR414316_bin.62_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_110_length_96759_cov_44.976857	Genome Set	96759	N/A	ICE	Bacteroidetes
UMGS426_SRR5032278_bin.10_Firmicutes_Clostridia_Clostridiales_Oscillospiraceae_Oscillibacter_NODE_752_length_23626_cov_4.646133	Genome Set	23626	N/A	ICE	Firmicutes
UMGS147_SRR5091520_bin.30_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_NODE_298_length_51670_cov_25.683387	Genome Set	51670	N/A	ICE	Firmicutes
NZ_JH590969.1_Erysipelotrichaceae_bacterium_6_1_45_genomic_scaffold_supercont1.2__whole_genome_shotgun_sequence	Genome Set	1207646	N/A	ICE	Tenericutes
UMGS1468_ERR1293763_bin.7_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_NODE_756_length_15276_cov_3.311609	Genome Set	15276	N/A	N/A	Tenericutes
NZ_GG657561.1_Holdemania_filiformis_DSM_12042_genomic_scaffold_Scfld10__whole_genome_shotgun_sequence	Genome Set	684668	N/A	ICE	Tenericutes
UMGS985_ERR414362_bin.39_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_NODE_231_length_55271_cov_10.064710	Genome Set	55271	N/A	ICE	Firmicutes
UMGS1144_SRR5032340_bin.7_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_140_length_45014_cov_17.337285	Genome Set	45014	N/A	N/A	Firmicutes
UMGS803_SRR5127411_bin.10_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_1440_length_9658_cov_8.665209	Genome Set	9658	N/A	ICE	Firmicutes
14207_7_23_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.14207_7_23.47	Genome Set	28531	N/A	ICE	Bacteroidetes
NZ_ABIX02000002.1_Bifidobacterium_dentium_ATCC_27678_B_dentium-2.0.1_Cont348__whole_genome_shotgun_sequence	Genome Set	2635766	N/A	ICE	Actinobacteria
NZ_DS996921.1_[Bacteroides]_pectinophilus_ATCC_43243_Scfld_02_1_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	2528381	N/A	ICE	Firmicutes
NZ_GL988014.1_Fusobacterium_sp._D12_genomic_scaffold_supercont2.3__whole_genome_shotgun_sequence	Genome Set	195408	N/A	ICE	Fusobacteria
20298_3_64_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.20298_3_64.10	Genome Set	125256	N/A	ICE	Firmicutes
UMGS231_SRR4033073_bin.3_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_1_length_437286_cov_34.278775	Genome Set	437286	N/A	ICE	Firmicutes
UMGS618_SRR4408228_bin.21_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_408_length_26456_cov_10.4448	Genome Set	26456	N/A	ICE	Firmicutes
UMGS106_SRR6054493_bin.13_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_2_length_236515_cov_20.276787	Genome Set	236515	N/A	ICE	Firmicutes
20298_2_28_Firmicutes_Clostridia_Clostridiales_NA_NA_.20298_2_28.1	Genome Set	1109666	N/A	ICE	Firmicutes
14207_7_54_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_54.1	Genome Set	1366117	N/A	ICE	Firmicutes
NZ_CAPH01000018.1_Alistipes_ihumii_AP11__whole_genome_shotgun_sequence	Genome Set	279520	N/A	ICE	Bacteroidetes
UMGS792_SRR5580076_bin.53_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_196_length_70478_cov_11.178179	Genome Set	70478	N/A	ICE	Firmicutes
UMGS1776_SRR5558195_bin.42_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_2876_length_15841_cov_6.247082	Genome Set	15841	N/A	ICE	Firmicutes
NZ_KQ236097.1_Parabacteroides_sp._2_1_7_genomic_scaffold_supercont2.6__whole_genome_shotgun_sequence	Genome Set	565040	N/A	ICE	Bacteroidetes
NZ_GG705175.1_Bacteroides_sp._2_1_22_genomic_scaffold_supercont1.3__whole_genome_shotgun_sequence	Genome Set	1143623	N/A	ICE	Bacteroidetes
13414_6_68_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13414_6_68.5	Genome Set	283444	N/A	ICE	Firmicutes
20298_3_65_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20298_3_65.5	Genome Set	263814	N/A	ICE	Firmicutes
NZ_HE978601.1_Brevibacterium_sp._JC43_genomic_scaffold__scaffold00002__whole_genome_shotgun_sequence	Genome Set	591155	N/A	ICE	Actinobacteria
NZ_GL520136.1_Erysipelotrichaceae_bacterium_3_1_53_genomic_scaffold_supercont1.5__whole_genome_shotgun_sequence	Genome Set	241801	N/A	ICE	Tenericutes
20298_3_62_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.20298_3_62.4	Genome Set	367400	N/A	ICE	Firmicutes
UMGS846_ERR1190639_bin.35_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_37_length_101229_cov_78.605442	Genome Set	101229	N/A	ICE	Bacteroidetes
20287_6_63_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_63.23	Genome Set	13507	N/A	ICE	Firmicutes
UMGS651_SRR2912799_bin.35_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_607_length_30769_cov_26.239435	Genome Set	30769	N/A	N/A	Actinobacteria
UMGS1413_SRR5579982_bin.24_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_411_length_16858_cov_2.489840	Genome Set	16858	N/A	ICE	Firmicutes
NZ_FCOY01000006.1_Xanthomonas_sp._SN8_genome_assembly__contig__contig00006__whole_genome_shotgun_sequence	Genome Set	1618547	IncP	ICE	Proteobacteria
20298_3_65_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20298_3_65.27	Genome Set	33740	N/A	ICE	Firmicutes
UMGS901_SRR6028340_bin.15_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_371_length_26395_cov_25.167692	Genome Set	26395	N/A	ICE	Bacteroidetes
14207_7_9_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospira_.14207_7_9.16	Genome Set	3237	N/A	N/A	Firmicutes
8080_1_78_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_ERS138176.8080_1_78.7	Genome Set	260199	N/A	ICE	Firmicutes
UMGS1702_SRR5106295_bin.36_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_64_length_122680_cov_5.256813	Genome Set	122680	N/A	ICE	Firmicutes
13414_6_53_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_.13414_6_53.17	Genome Set	56887	N/A	ICE	Firmicutes
UMGS472_ERR1578619_bin.63_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_NODE_153_length_92445_cov_49.202782	Genome Set	92445	N/A	ICE	Firmicutes
UMGS971_ERR1620373_bin.39_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Butyricimonas_NODE_1335_length_19849_cov_5.154643	Genome Set	19849	N/A	Plasmid	Bacteroidetes
NZ_GL891981.1_Dysgonomonas_gadei_ATCC_BAA-286_genomic_scaffold_supercont1.3__whole_genome_shotgun_sequence	Genome Set	467011	N/A	ICE	Bacteroidetes
NZ_KQ236092.1_Parabacteroides_sp._2_1_7_genomic_scaffold_supercont2.1__whole_genome_shotgun_sequence	Genome Set	815589	N/A	ICE	Bacteroidetes
20287_6_53_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20287_6_53.6	Genome Set	398305	N/A	ICE	Bacteroidetes
14207_6_3_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_.14207_6_3.32	Genome Set	23952	N/A	N/A	Bacteroidetes
NZ_LN865153.1_Eubacterium_sp._SB2_genome_assembly_Eubacterium_massiliense__scaffold_scaffold00009__whole_genome_shotgun_sequence	Genome Set	2375804	N/A	ICE	Firmicutes
14207_7_37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.14207_7_37.19	Genome Set	80552	N/A	ICE	Firmicutes
UMGS458_SRR5056748_bin.93_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_NODE_6627_length_7350_cov_4.081014	Genome Set	7350	N/A	N/A	Firmicutes
13470_2_58_Firmicutes_Clostridia_Clostridiales_NA_NA_.13470_2_58.9	Genome Set	170674	N/A	ICE	Firmicutes
NZ_GG705173.1_Bacteroides_sp._2_1_22_genomic_scaffold_supercont1.1__whole_genome_shotgun_sequence	Genome Set	1674641	N/A	ICE	Bacteroidetes
18048_2_85_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.18048_2_85.23	Genome Set	50896	N/A	ICE	Firmicutes
21673_4_87_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.21673_4_87.13	Genome Set	53889	N/A	ICE	Firmicutes
14207_7_37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.14207_7_37.6	Genome Set	170289	N/A	ICE	Firmicutes
NZ_ACFY01000004.1_Roseburia_inulinivorans_DSM_16841_R_inulinivorans-1.0.1_Cont4.1__whole_genome_shotgun_sequence	Genome Set	61552	N/A	ICE	Firmicutes
20298_3_69_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.20298_3_69.7	Genome Set	223310	N/A	ICE	Firmicutes
UMGS122_SRR1779117_bin.2_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus_NODE_30_length_176543_cov_46.5645	Genome Set	176543	N/A	ICE	Firmicutes
21673_4_36_Firmicutes_Clostridia_Clostridiales_NA_NA_.21673_4_36.1	Genome Set	813465	N/A	ICE	Firmicutes
NZ_DS981486.1_Bacteroides_coprocola_DSM_17136_Scfld_02_59_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	80142	N/A	ICE	Bacteroidetes
18048_2_67_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.18048_2_67.4	Genome Set	385361	N/A	ICE	Firmicutes
UMGS519_ERR1018206_bin.15_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_679_length_17298_cov_5.935800	Genome Set	17298	N/A	N/A	Actinobacteria
UMGS1188_SRR2155371_bin.11_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_35_length_110837_cov_11.612636	Genome Set	110837	N/A	ICE	Firmicutes
NZ_HE978580.1_Peptostreptococcaceae_bacterium_ph1_genomic_scaffold__scaffold00001__whole_genome_shotgun_sequence	Genome Set	813424	N/A	ICE	Firmicutes
UMGS1650_SRR585761_bin.1_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_4_length_101668_cov_7.93269	Genome Set	101668	N/A	N/A	Firmicutes
UMGS1709_SRR1761698_bin.37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_383_length_31550_cov_6.737990	Genome Set	31550	N/A	ICE	Firmicutes
21673_4_3_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.21673_4_3.2	Genome Set	914767	N/A	ICE	Firmicutes
UMGS1069_SRR6028370_bin.24_Verrucomicrobia_Opitutae_Opitutales_NA_NA_NODE_8_length_169942_cov_10.467729	Genome Set	169942	N/A	ICE	Verrucomicrobia
UMGS493_SRR5279266_bin.8_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_88_length_57000_cov_38.1881	Genome Set	57000	N/A	ICE	Bacteroidetes
14207_7_89_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_89.31	Genome Set	39555	N/A	ICE	Firmicutes
UMGS670_ERR1190964_bin.38_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_5_length_302358_cov_6.908592	Genome Set	302358	N/A	ICE	Firmicutes
UMGS59_ERR589527_bin.14_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_NODE_482_length_38872_cov_11.317000	Genome Set	38872	N/A	N/A	Firmicutes
UMGS1292_ERR321194_bin.11_Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NODE_1_length_282262_cov_8.46361	Genome Set	282262	N/A	ICE	Bacteroidetes
NZ_JH414767.1_Tannerella_sp._6_1_58FAA_CT1_genomic_scaffold_supercont1.2__whole_genome_shotgun_sequence	Genome Set	695811	N/A	ICE	Bacteroidetes
13470_2_92_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13470_2_92.49	Genome Set	20608	N/A	N/A	Firmicutes
UMGS1032_ERR414261_bin.23_Tenericutes_NA_NA_NA_NA_NODE_829_length_23068_cov_5.813975	Genome Set	23068	N/A	Plasmid	Tenericutes
NZ_DS499711.1_Clostridium_scindens_ATCC_35704_Scfld_02_33_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	95416	N/A	ICE	Firmicutes
UMGS1036_ERR011158_bin.10_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_143_length_29192_cov_6.5401	Genome Set	29192	N/A	ICE	Bacteroidetes
UMGS1005_SRR4408017_bin.22_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_NODE_6935_length_2246_cov_7.700593	Genome Set	2246	N/A	ICE	Bacteroidetes
NZ_JH379444.1_Prevotella_stercorea_DSM_18206_genomic_scaffold_Scfld979__whole_genome_shotgun_sequence	Genome Set	59361	N/A	ICE	Bacteroidetes
14207_7_1_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospira_.14207_7_1.2	Genome Set	461132	N/A	N/A	Firmicutes
18048_2_82_Firmicutes_Clostridia_Clostridiales_NA_NA_.18048_2_82.9	Genome Set	89221	N/A	ICE	Firmicutes
13414_6_43_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.13414_6_43.2	Genome Set	673861	N/A	ICE	Firmicutes
NZ_GL830938.1_Phascolarctobacterium_succinatutens_YIT_12067_Scfld389__whole_genome_shotgun_sequence	Genome Set	76851	N/A	ICE	Firmicutes
UMGS96_SRR769526_bin.2_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_236_length_13506_cov_8.05784	Genome Set	13506	N/A	ICE	Firmicutes
UMGS800_ERR1293918_bin.21_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_11_length_167619_cov_22.900814	Genome Set	167619	N/A	ICE	Bacteroidetes
UMGS1038_ERR525948_bin.22_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Massiliomicrobiota_NODE_2035_length_7700_cov_4.8361	Genome Set	7700	N/A	Plasmid	Tenericutes
UMGS501_ERR1913117_bin.32_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_4_length_275284_cov_10.250108	Genome Set	275284	N/A	ICE	Bacteroidetes
13470_2_67_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_.13470_2_67.7	Genome Set	301546	N/A	ICE	Bacteroidetes
UMGS1628_SRR5056930_bin.3_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_2272_length_13761_cov_4.154677	Genome Set	13761	N/A	ICE	Firmicutes
14207_7_54_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_54.13	Genome Set	65331	N/A	ICE	Firmicutes
12718_7_47_Firmicutes_Clostridia_Clostridiales_NA_NA_.12718_7_47.2	Genome Set	490846	N/A	ICE	Firmicutes
UMGS329_SRR6028346_bin.15_Bacteroidetes_Bacteroidia_Bacteroidales_NA_NA_NODE_9_length_112022_cov_21.914841	Genome Set	112022	N/A	ICE	Bacteroidetes
UMGS1440_SRR1761678_bin.28_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_2_length_356471_cov_49.212914	Genome Set	356471	N/A	ICE	Firmicutes
14207_7_89_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_89.16	Genome Set	78701	N/A	ICE	Firmicutes
UMGS144_SRR3737013_bin.8_Proteobacteria_Gammaproteobacteria_Aeromonadales_Succinivibrionaceae_Succinatimonas_NODE_72_length_108762_cov_41.565603	Genome Set	108762	N/A	N/A	Proteobacteria
13414_6_47_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_.13414_6_47.4	Genome Set	254414	N/A	ICE	Firmicutes
UMGS568_ERR1305892_bin.4_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_365_length_54717_cov_69.941093	Genome Set	54717	N/A	ICE	Firmicutes
UMGS505_ERR1293707_bin.3_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_26_length_114938_cov_4.137679	Genome Set	114938	N/A	ICE	Firmicutes
20287_6_9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20287_6_9.11	Genome Set	193709	N/A	ICE	Bacteroidetes
UMGS781_ERR1305892_bin.56_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_NODE_100_length_101382_cov_4.906876	Genome Set	101382	N/A	ICE	Proteobacteria
UMGS1989_ERR1190931_bin.4_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_1474_length_21870_cov_3.226496	Genome Set	21870	N/A	ICE	Firmicutes
UMGS870_SRR5057088_bin.22_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_112_length_85141_cov_8.498895	Genome Set	85141	N/A	ICE	Firmicutes
NZ_GL892010.1_Dysgonomonas_mossii_DSM_22836_genomic_scaffold_supercont1.7__whole_genome_shotgun_sequence	Genome Set	182617	N/A	ICE	Bacteroidetes
UMGS40_SRR2912796_bin.41_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_24_length_141787_cov_18.942257	Genome Set	141787	N/A	ICE	Firmicutes
UMGS253_ERR1293894_bin.25_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_NODE_160_length_58565_cov_12.603418	Genome Set	58565	N/A	ICE	Firmicutes
13414_6_37_Firmicutes_Clostridia_Clostridiales_NA_NA_.13414_6_37.4	Genome Set	149978	N/A	ICE	Firmicutes
NZ_HE978611.1_Brevibacterium_sp._JC43_genomic_scaffold__scaffold00012__whole_genome_shotgun_sequence	Genome Set	62517	N/A	Plasmid	Actinobacteria
UMGS2042_SRR341641_bin.4_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_490_length_17164_cov_2.23631	Genome Set	17164	N/A	ICE	Bacteroidetes
UMGS1097_ERR525737_bin.51_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_8_length_241304_cov_7.955888	Genome Set	241304	N/A	ICE	Firmicutes
UMGS859_ERR414316_bin.12_Proteobacteria_Alphaproteobacteria_Rickettsiales_NA_NA_NODE_14_length_225374_cov_40.173319	Genome Set	225374	N/A	ICE	Proteobacteria
UMGS365_SRR5558121_bin.15_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_98_length_115411_cov_8.770944	Genome Set	115411	N/A	ICE	Firmicutes
UMGS1399_SRR4408050_bin.11_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_69_length_94562_cov_31.968394	Genome Set	94562	N/A	ICE	Bacteroidetes
UMGS1132_ERR1620269_bin.14_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_355_length_34204_cov_7.385926	Genome Set	34204	N/A	ICE	Firmicutes
UMGS944_ERR1190861_bin.8_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_27_length_162864_cov_6.378726	Genome Set	162864	N/A	ICE	Firmicutes
20298_3_4_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Citrobacter_.20298_3_4.9	Genome Set	149896	IncFII	Plasmid	Proteobacteria
21673_4_33_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_.21673_4_33.7	Genome Set	269567	N/A	ICE	Bacteroidetes
NZ_HG726020.1_Bacteroides_neonati_strain_MS4__whole_genome_shotgun_sequence	Genome Set	1480366	N/A	ICE	Bacteroidetes
21673_4_19_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.21673_4_19.9	Genome Set	175874	N/A	ICE	Firmicutes
NZ_KI965381.1_Fusobacterium_nucleatum_13_3C_genomic_scaffold_adlCx-supercont1.1__whole_genome_shotgun_sequence	Genome Set	1700382	N/A	ICE	Fusobacteria
12718_7_89_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_NA_.12718_7_89.15	Genome Set	94654	N/A	ICE	Actinobacteria
UMGS1450_ERR321427_bin.5_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_668_length_8845_cov_2.18567	Genome Set	8845	N/A	N/A	Bacteroidetes
UMGS639_DRR042328_bin.21_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_110_length_130575_cov_20.622194	Genome Set	130575	N/A	ICE	Actinobacteria
UMGS1502_SRR3992965_bin.54_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_NA_NODE_4333_length_10732_cov_3.840826	Genome Set	10732	N/A	Plasmid	Actinobacteria
UMGS219_ERR321453_bin.7_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_1_length_127626_cov_3.55478	Genome Set	127626	N/A	ICE	Bacteroidetes
21673_4_87_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.21673_4_87.7	Genome Set	131246	N/A	ICE	Firmicutes
UMGS1436_ERR1190898_bin.13_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_NODE_1546_length_16633_cov_11.405899	Genome Set	16633	N/A	ICE	Firmicutes
18048_1_72_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.18048_1_72.8	Genome Set	195242	N/A	ICE	Firmicutes
21673_4_19_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.21673_4_19.20	Genome Set	70211	N/A	ICE	Firmicutes
UMGS40_SRR2912796_bin.41_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_187_length_47116_cov_24.276620	Genome Set	47116	N/A	N/A	Firmicutes
NZ_GG704863.1_Enterobacter_cancerogenus_ATCC_35316_Scfld0__whole_genome_shotgun_sequence	Genome Set	2235134	N/A	ICE	Proteobacteria
20287_6_88_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_88.15	Genome Set	133211	N/A	ICE	Firmicutes
NZ_GL636544.1_Sutterella_wadsworthensis_3_1_45B_genomic_scaffold_supercont1.5__whole_genome_shotgun_sequence	Genome Set	226673	N/A	N/A	Proteobacteria
UMGS486_ERR911961_bin.4_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_289_length_91142_cov_22.418775	Genome Set	91142	N/A	ICE	Firmicutes
13414_6_53_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_.13414_6_53.31	Genome Set	11580	N/A	ICE	Firmicutes
UMGS247_ERR321470_bin.7_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_3_length_200868_cov_14.7962	Genome Set	200868	N/A	ICE	Bacteroidetes
UMGS83_ERR911953_bin.80_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_5_length_319042_cov_13.719537	Genome Set	319042	N/A	ICE	Firmicutes
UMGS151_ERR525714_bin.15_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Robinsoniella_NODE_260_length_48067_cov_5.68275	Genome Set	48067	N/A	ICE	Firmicutes
UMGS315_SRR5127596_bin.10_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_1_length_138453_cov_10.931422	Genome Set	138453	N/A	ICE	Actinobacteria
13414_6_50_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.13414_6_50.8	Genome Set	145632	N/A	ICE	Firmicutes
